zipcode,state,City,R_2015,R_2016,R_2017,R_2018,R_2019,R_2020,R_2021,R_2022,R_2023
77494,TX,Katy,1551.5796130261915,1484.9992521385573,1498.9409254596314,1535.0290844456433,1550.80428491086,1580.6265082477037,1719.7200650086336,1892.6439936777867,1947.8848202751901
77449,TX,Katy,1306.0874417386976,1315.392091401586,1326.8445719080153,1376.266235377295,1391.0701890746766,1434.9340830293158,1590.5975396616952,1763.2519738299263,1799.4859782584274
77433,TX,Cypress,1357.268692369145,1370.242740514787,1394.5951301671394,1447.160207343952,1466.8256332022283,1519.8633808812956,1676.4414587399451,1860.5958402191363,1905.8199078754399
77573,TX,League City,1301.541531947925,1338.7611058404004,1367.7127357230645,1412.6261033482085,1432.3646457308953,1456.2974691375912,1549.1308807616167,1701.4340256031612,1762.6757588186
75052,TX,Grand Prairie,1163.3268545717083,1227.5390277300783,1289.9784050758246,1346.0621967142163,1388.5993361819571,1425.5198879370157,1589.9287640258242,1792.2257240500876,1800.1415135187767
78245,TX,San Antonio,1064.035041543313,1100.848284842941,1143.519261343064,1170.461353347269,1237.9074614029498,1258.6543816676974,1353.1025460823075,1513.5959510929215,1506.9900531832473
77479,TX,Sugar Land,1729.9186081463201,1681.975902860937,1686.1796523281046,1709.4095426016584,1737.57342689629,1755.8394648455494,1963.90248149132,2090.336491138375,2164.3072198563673
78613,TX,Cedar Park,1313.2991200876238,1335.3470783151047,1348.153452948972,1380.887936973588,1427.5870547072816,1471.86422670868,1671.601709723204,1868.933892743722,1851.1950831051145
77584,TX,Pearland,1400.3522063191176,1406.8502902476794,1410.517896181157,1445.5654818474607,1468.5491706610335,1489.231227004808,1622.0235568051403,1766.1720667977397,1794.774638770233
75035,TX,Frisco,1698.0023810015173,1742.1301676773771,1785.5732936223385,1840.6731885652136,1891.036233859946,1954.477320441986,2171.8954952665254,2448.0694666360737,2566.320773731168
76244,TX,Fort Worth,1440.5925540655962,1488.613548316708,1538.0219113085532,1588.5492091526594,1632.824425467401,1694.061729084431,1878.415980094963,2105.618287118847,2152.105076017842
76063,TX,Mansfield,1211.6838556189666,1261.3171571273313,1320.773149851932,1378.861066611246,1424.7565517476648,1458.7188798369868,1616.2406155427982,1789.114800545722,1843.0674240952583
75002,TX,Allen,1596.9777165956214,1654.4533527756018,1714.2843255203234,1747.0785423989294,1803.8609808312588,1856.3975796864086,2108.325857572943,2369.323602515153,2471.5876206314188
76028,TX,Burleson,1217.052411422719,1263.1591887457878,1334.2843122978318,1400.934710046754,1460.5278122737936,1521.365495454819,1677.0708844198264,1869.2355064818355,1922.7173018114893
76179,TX,Fort Worth,1317.6018268649852,1369.8857028994446,1438.310938523362,1495.348463083733,1552.3945401683275,1609.0217838402393,1763.8935237084795,2015.1707039966966,2095.047295794461
77095,TX,Houston,1252.8989625174004,1249.3646322498657,1257.0771331067172,1297.4075784739691,1323.3758458094105,1381.068605964514,1471.9367588945854,1627.0137393272983,1681.5018477923538
78254,TX,San Antonio,1279.9904156761797,1315.5992522863653,1363.5390973501774,1407.3771226692795,1453.4313999813237,1504.3629319154563,1657.290350494957,1815.49371079255,1878.0389941958442
75068,TX,Little Elm,1498.7838181887926,1551.2538999459048,1597.5425554062158,1648.9049093631018,1694.7091283603413,1747.5936070101664,2010.7968473308256,2241.1993674044106,2320.4968572447897
77373,TX,Spring,1211.2177102753403,1234.3099119544356,1267.6552165665173,1314.0331668711826,1339.2486062180953,1362.5707205938543,1493.2394938730847,1635.34979138921,1703.1534083158908
77386,TX,Spring,1475.1206481827176,1458.8764372139074,1471.9818022206866,1518.6387492193317,1549.412150930967,1593.172692841695,1732.528416920867,1876.5576159192449,1936.5517253886155
75056,TX,The Colony,1215.1496929254529,1256.3150024262402,1312.3577099804068,1347.534063691032,1386.5481574453663,1431.3800534766085,1576.5047348148212,1835.4453541804985,1856.7906237126385
78745,TX,Austin,1151.0261703706085,1201.8170079603867,1230.161212557776,1261.4568265505159,1334.042519342503,1389.212343439416,1561.3846593786357,1793.6802119656174,1794.3292664792655
78253,TX,San Antonio,1319.859612152299,1348.1956797438131,1376.8639446033678,1409.1328699992252,1445.641683882611,1478.8833214699587,1642.4870818166467,1815.2443739546886,1806.0855795981147
75071,TX,McKinney,1406.8067060901167,1436.6464591949052,1480.1841977067759,1510.6350979449564,1548.8230798466873,1599.01851590503,1809.594794276025,2082.5010419793307,2105.37791071699
76137,TX,Fort Worth,1216.6473070986506,1270.0367542240713,1331.0194107820237,1386.9416855972179,1456.8611831970072,1500.0202483102742,1668.1197382673945,1855.7427867749877,1925.1237051579185
75115,TX,Desoto,1190.8314203434566,1238.640226422959,1319.7718531257892,1364.5484909010668,1429.8253915909115,1501.5164327056045,1670.041875471842,1858.9551760571692,1962.8672342747464
78250,TX,San Antonio,1011.9636828473969,1058.5518423889712,1099.7644588516025,1131.8642888305972,1183.9790877810115,1217.8120855480863,1331.630398355432,1534.187942368996,1556.5704450892886
78240,TX,San Antonio,926.3977096840563,961.6741968560583,991.6737808659949,1012.1955305688535,1036.8165736850476,1062.051499408208,1137.1357046322971,1258.1288209445386,1259.6438524891532
75070,TX,McKinney,1270.7832292107803,1303.6785540153462,1324.8212827747545,1350.1072264336658,1378.874266207932,1418.5147900999175,1604.0625568368841,1841.5162466660622,1843.0709901773776
75025,TX,Plano,1702.44753098333,1747.6476156651688,1772.486662096427,1789.7454834497864,1860.6529268790198,1882.7324456871984,2139.3786924827346,2417.0443282570473,2480.424219978574
76549,TX,Killeen,842.1831385233903,847.3452850551134,857.222393413902,874.6397279690915,914.0171606166626,972.3708315729688,1142.8979556380725,1301.2033421205606,1325.380633263008
77498,TX,Sugar Land,1411.534108273897,1417.3826375869764,1440.4824751575688,1494.0005895137763,1522.0936717933148,1537.3716027263397,1643.6314899884294,1817.123763638081,1896.158983080249
76133,TX,Fort Worth,978.0493169960056,1026.6544203362876,1097.4750632396215,1164.42776953875,1221.3412523925667,1279.4041390512796,1423.3867147713838,1598.7980943069758,1684.8366474117665
75104,TX,Cedar Hill,1164.8341855565975,1236.1763868717992,1302.3892333845567,1369.3977489777426,1434.7617484477935,1512.448893141672,1700.0308528661978,1888.364627357929,1961.879196555857
78247,TX,San Antonio,1139.8873900167125,1184.643518772176,1221.7344266992118,1255.364269153583,1296.9504958967623,1334.9326507015846,1433.2994982631565,1590.2216821072332,1647.433926530783
75074,TX,Plano,1109.0425939197594,1162.7958322773818,1216.813618989417,1238.8659905913828,1278.6178528126236,1309.235698645836,1417.1244669851928,1642.459789238782,1708.1771331403033
78704,TX,Austin,1509.4389116572638,1564.3069940673179,1584.9232904159107,1658.7828584962806,1736.6317940314077,1738.9538397741562,1963.6813130641515,2227.314743195876,2204.007621120767
78748,TX,Austin,1137.644676991468,1175.9539285590179,1195.2591791154039,1212.7944329086097,1284.2363441461464,1311.0828273037612,1469.96310162465,1693.1873622541195,1667.8582574863776
76542,TX,Killeen,912.0236390552287,920.7551843504633,933.7823313926557,950.5321375215908,1006.8613849976774,1044.4166933110396,1245.5381988495794,1404.7562279898495,1428.0149123912665
75093,TX,Plano,1306.0534841776537,1352.749371248073,1397.3450592244592,1425.844724186243,1475.1178609472101,1482.0095308077464,1658.8453653196605,1964.7795068843113,1988.2486952446095
75023,TX,Plano,1278.0732555491315,1346.2335837821788,1393.3815718289895,1428.9651275412423,1478.6326784670748,1525.0235355697216,1690.9861223390071,1971.4081439775791,1982.169253571336
75028,TX,Flower Mound,1547.9256464978262,1587.1434063264107,1653.6184184604235,1685.8471148512554,1741.5151912853344,1787.8749397773915,1983.2767674517954,2252.1393985253358,2281.3319955944435
78414,TX,Corpus Christi,1461.909051406681,1537.5974342951238,1565.0867172060268,1615.549683433156,1608.4373776256925,1675.9757062875033,1831.18120947455,1943.66295825658,1972.6352453005766
75034,TX,Frisco,1203.5246612038698,1235.1758356290584,1269.6652264016163,1305.793266079222,1358.2657165927028,1359.8634870642898,1540.5858787438194,1761.6479217899725,1772.4956872113028
76131,TX,Saginaw,1261.0529825767155,1318.856106791831,1379.6008273605887,1436.1838462054902,1509.614265549393,1556.8132598839777,1748.4334094629655,1938.4179868214724,2001.4408045014975
78233,TX,San Antonio,965.1436187921526,1008.3874018849501,1051.266744096132,1086.264956416902,1128.45849318946,1188.018094749335,1269.524554341604,1399.218518847935,1472.7656041435953
76227,TX,Aubrey,1418.44187234329,1484.5738985363053,1543.9990022776153,1611.2244611358626,1647.683984561365,1697.237476462971,1955.969082635315,2148.856756384074,2179.9502977582883
78108,TX,Cibolo,1417.4102984647068,1454.1190395517706,1486.654955546743,1514.5491892117495,1559.9348341093348,1611.0234008559419,1764.788948341802,1953.9769319622583,1999.3714257669676
78109,TX,Converse,1193.3164611628006,1233.3308689231974,1269.622156387946,1313.9222611382518,1357.3822367154414,1398.1295899180598,1532.2826994177778,1705.0921314916613,1750.2271388555323
78244,TX,San Antonio,1085.6558377324095,1129.8233299859007,1160.3984098796543,1210.9349822839204,1258.8392987982672,1295.262353165875,1398.1926745301555,1569.69038647914,1617.3994020121668
76522,TX,Copperas Cove,729.7654639664061,739.091804631424,754.0017265587298,771.2079329559051,811.378054557748,869.2505531360885,985.9833053214593,1129.7833427480557,1192.4029354046718
76123,TX,Fort Worth,1181.8059589308125,1249.1663172206233,1313.6021822101236,1377.3697654355199,1449.2970351163476,1578.4210319628473,1782.7837609466285,1967.819078209783,2056.279291399658
75206,TX,Dallas,1349.2349835887735,1426.3148249466758,1509.3403851580986,1571.9744698995726,1606.7903002872602,1597.9573404973962,1723.3750454948292,1980.5238418508154,2016.6136506587682
77382,TX,Spring,1823.1984956549675,1794.285922280198,1788.52904332611,1880.9409272332875,1903.6244287381069,1905.7243800697725,2152.437710356821,2401.8653707762837,2473.1306465091575
77381,TX,Spring,1662.1724531299812,1629.8351879203565,1647.7975011845456,1705.8574983492788,1760.4103486731326,1792.302743014491,1998.9679992825425,2246.278953597766,2369.8434622384784
77008,TX,Houston,1593.0657137430042,1579.368681390987,1594.5745892977122,1658.232660766098,1681.2162125938376,1708.8870720599061,1804.6114868634684,1917.5175055681927,1969.7851877144271
76543,TX,Killeen,663.856281299986,668.7925574012237,678.3188912295644,697.8590662863372,732.9475388557257,789.5710710529289,945.6203350084164,1054.9015893651292,1086.719640461397
76002,TX,Arlington,1357.4887862186968,1428.653688868623,1481.6989480520406,1541.3583607637559,1601.4057023789248,1675.4673310622495,1840.330745297313,2118.175204968629,2217.565476829726
76548,TX,Harker Heights,971.6099068599489,981.3034780425843,992.7577289189513,1011.085368362168,1042.2436994566235,1089.772341260005,1252.6409886087479,1434.1211814066985,1463.4921945438787
75204,TX,Dallas,1500.1503190942315,1572.6916918512616,1627.3077426507678,1656.8343647167821,1687.484833754994,1666.3182158603656,1781.3585174989373,1997.9562665832566,2021.2750398577537
76107,TX,Fort Worth,1147.229843299504,1242.286414343344,1310.2457611269026,1376.7934946628222,1438.878199623272,1452.0303205637895,1535.187259547328,1727.9607636792155,1785.8654473696126
76109,TX,Fort Worth,1531.4280644340026,1622.5475086487374,1703.6029106517647,1769.8935072143058,1810.9089104369796,1830.2925362462365,1959.0505537944916,2213.1128473609797,2286.1093010425802
75219,TX,Dallas,1446.3791991439584,1511.4469292153801,1552.1691922596071,1627.727043606048,1670.1861111815551,1674.799992007336,1796.3723350611697,2026.4253760999309,2063.6812274360964
78703,TX,Austin,1465.887655974394,1544.7953524135494,1610.824391396244,1675.3890023241938,1783.932785505334,1778.9757302970556,2040.3215610425875,2313.2140051447245,2308.1721675437325
